country,year,dva_value,fnl_value,dva_ratio,dva_growth,dva_lag
CHN,2000,140440.664,102185.052,1.3743758137931954,,
CHN,2001,150627.498,114459.242,1.315992447337717,7.253478949658065,140440.664
CHN,2002,180297.309,138025.993,1.306256199149388,19.697473166552903,150627.498
CHN,2003,228295.885,177528.817,1.2859652244514197,26.621903713493577,180297.309
CHN,2004,297046.123,233664.307,1.2712515951355807,30.114532287780825,228295.885
CHN,2005,381749.075,293455.271,1.3008765311971513,28.51508417095212,297046.123
CHN,2006,454669.618,341050.256,1.3331455115518225,19.10169474542931,381749.075
CHN,2007,575484.465,412065.122,1.396586205129004,26.572007940939635,454669.618
CHN,2008,680415.126,468023.766,1.4538046471768271,18.23344805667344,575484.465
CHN,2009,564972.199,394452.524,1.43229454655486,-16.96654330403584,680415.126
CHN,2010,715967.293,492774.265,1.4529315831864718,26.72611046477349,564972.199
CHN,2011,859621.582,590985.899,1.4545551483623471,20.064364727901072,715967.293
CHN,2012,899326.819,621775.193,1.446385814559186,4.618920444926666,859621.582
CHN,2013,963285.248,674341.283,1.428483280327359,7.111811596046702,899326.819
CHN,2014,1079112.988,737037.941,1.464121353828649,12.024241027305749,963285.248
CHN,2015,1093987.383,731367.317,1.4958111438277462,1.378390878935476,1079112.988
CHN,2016,1010684.152,676028.018,1.4950329351586134,-7.614642754979551,1093987.383
CHN,2017,1094248.385,728099.639,1.50288274624457,8.268085814409808,1010684.152
CHN,2018,1199069.827,788628.617,1.5204492978727402,9.5793097286591,1094248.385
CHN,2019,1188327.497,764645.654,1.5540891271448984,-0.8958886094963092,1199069.827
CHN,2020,1246516.329,782044.414,1.5939201235698617,4.896699954086814,1188327.497
CHN,2021,1593281.384,995385.83,1.600667134270939,27.81873345198676,1246516.329
CHN,2022,1711083.698,1066750.132,1.6040154546706915,7.393691734742558,1593281.384
JPN,2000,310267.82,191328.503,1.6216497549243878,,
JPN,2001,259195.682,159202.697,1.628085999070732,-16.460662275578564,310267.82
JPN,2002,253444.381,154699.607,1.638300096004769,-2.218903091140234,259195.682
JPN,2003,276209.684,156498.562,1.7649343257224306,8.982366430921186,253444.381
JPN,2004,315519.761,178852.862,1.764130344193206,14.2319691441376,276209.684
JPN,2005,327346.916,190033.775,1.7225722953722309,3.7484672790431217,315519.761
JPN,2006,340828.102,197400.442,1.7265822636810508,4.118317705488939,327346.916
JPN,2007,363779.923,212330.818,1.7132695405525165,6.734133971147727,340828.102
JPN,2008,368354.151,210942.344,1.7462314299494084,1.2574162868246086,363779.923
JPN,2009,276115.966,139307.101,1.9820667002466728,-25.040625916551708,368354.151
JPN,2010,334913.081,181170.469,1.848607462621295,21.294355357922324,276115.966
JPN,2011,342640.409,186718.152,1.8350674818161223,2.307263716582031,334913.081
JPN,2012,333638.156,191590.19,1.7414156539016952,-2.627317958869224,342640.409
JPN,2013,300783.056,176990.42,1.699431279952892,-9.847524753733516,333638.156
JPN,2014,309675.755,182061.55,1.7009399019177855,2.9565159415096964,300783.056
JPN,2015,300547.741,177040.96,1.6976169864871948,-2.947603696001333,309675.755
JPN,2016,324392.326,186378.16,1.7405061086556493,7.933709606554662,300547.741
JPN,2017,340508.219,199531.39,1.706539602615909,4.968025353349437,324392.326
JPN,2018,348019.262,209405.074,1.6619428333431885,2.2058330991417296,340508.219
JPN,2019,340637.495,197996.131,1.7204250066886408,-2.1210800107954952,348019.262
JPN,2020,285867.284,160306.524,1.7832542111636078,-16.07873819057999,340637.495
JPN,2021,320237.294,182392.493,1.7557591802860002,12.023065220712702,285867.284
JPN,2022,319953.865,192440.473,1.6626121314927345,-0.0885059314796765,320237.294
KOR,2000,84290.525,68436.815,1.231654702224234,,
KOR,2001,72735.266,58171.203,1.250365511608897,-13.708846872172153,84290.525
KOR,2002,75093.399,59940.903,1.2527905860877673,3.2420765464719725,72735.266
KOR,2003,82230.346,63530.113,1.294352270394986,9.504093695372616,75093.399
KOR,2004,105488.68,82124.907,1.284490708768778,28.28436840093072,82230.346
KOR,2005,113369.534,84326.339,1.344414276066224,7.4708053982664335,105488.68
KOR,2006,122303.19,90199.355,1.3559208932258997,7.880120597479046,113369.534
KOR,2007,133119.65,95855.569,1.388752384329386,8.84397209917418,122303.19
KOR,2008,130501.225,101197.558,1.289568914301272,-1.9669710670062512,133119.65
KOR,2009,108435.454,81418.841,1.3318226183052642,-16.90847806217911,130501.225
KOR,2010,129295.116,98250.272,1.3159771812133,19.236938870565343,108435.454
KOR,2011,145538.264,119842.164,1.21441618827911,12.562847308169012,129295.116
KOR,2012,146109.167,119598.604,1.221662813054239,0.3922700355969644,145538.264
KOR,2013,150086.599,120760.145,1.2428487809450708,2.7222330273089623,146109.167
KOR,2014,164625.032,128584.3,1.280288744426808,9.686696278593152,150086.599
KOR,2015,156696.71,115797.226,1.353199169037089,-4.815988129921833,164625.032
KOR,2016,151199.235,107502.478,1.406472090810781,-3.508353812916687,156696.71
KOR,2017,159080.243,114031.174,1.3950592405546924,5.212333250231072,151199.235
KOR,2018,163570.531,118181.13,1.3840663987558757,2.822655985004996,159080.243
KOR,2019,156733.13,112848.665,1.388878902555028,-4.180093417927456,163570.531
KOR,2020,150874.54,104532.178,1.4433310669179782,-3.737939770615184,156733.13
KOR,2021,186064.483,127438.814,1.4600299324819517,23.32397699439548,150874.54
KOR,2022,201042.428,148354.645,1.3551475115592102,8.049867851458782,186064.483
