country,year,dva_growth,dva_lag,log_dva_lag
CHN,2001,7.253478949658065,140440.664,11.852540358268913
CHN,2002,19.697473166552903,150627.498,11.922565167321904
CHN,2003,26.621903713493577,180297.309,12.102362483955236
CHN,2004,30.114532287780825,228295.885,12.338397807826315
CHN,2005,28.51508417095212,297046.123,12.601642702023911
CHN,2006,19.10169474542931,381749.075,12.852518800026209
CHN,2007,26.572007940939635,454669.618,13.027326319898712
CHN,2008,18.23344805667344,575484.465,13.2629675128614
CHN,2009,-16.96654330403584,680415.126,13.430458370297302
CHN,2010,26.72611046477349,564972.199,13.244531803608222
CHN,2011,20.064364727901072,715967.293,13.481389764731814
CHN,2012,4.618920444926666,859621.582,13.664247550461841
CHN,2013,7.111811596046702,899326.819,13.70940178354178
CHN,2014,12.024241027305749,963285.248,13.778104854603747
CHN,2015,1.378390878935476,1079112.988,13.891649954235282
CHN,2016,-7.614642754979551,1093987.383,13.905339728990795
CHN,2017,8.268085814409808,1010684.152,13.82613803771819
CHN,2018,9.5793097286591,1094248.385,13.90557827915532
CHN,2019,-0.8958886094963092,1199069.827,13.997056670011984
CHN,2020,4.896699954086814,1188327.497,13.988057411789914
CHN,2021,27.81873345198676,1246516.329,14.03586328173961
CHN,2022,7.393691734742558,1593281.384,14.281306211083901
JPN,2001,-16.460662275578564,310267.82,12.645191138967743
JPN,2002,-2.218903091140234,259195.682,12.465338584370878
JPN,2003,8.982366430921186,253444.381,12.44289967360147
JPN,2004,14.2319691441376,276209.684,12.528915580892289
JPN,2005,3.7484672790431217,315519.761,12.661976592916405
JPN,2006,4.118317705488939,327346.916,12.698775792715955
JPN,2007,6.734133971147727,340828.102,12.739133529457936
JPN,2008,1.2574162868246086,363779.923,12.804304356627418
JPN,2009,-25.040625916551708,368354.151,12.816800121220803
JPN,2010,21.294355357922324,276115.966,12.528576223120657
JPN,2011,2.307263716582031,334913.081,12.721626317440219
JPN,2012,-2.627317958869224,342640.409,12.7444368059612
JPN,2013,-9.847524753733516,333638.156,12.717812319425036
JPN,2014,2.9565159415096964,300783.056,12.614144539684006
JPN,2015,-2.947603696001333,309675.755,12.64328107745931
JPN,2016,7.933709606554662,300547.741,12.613361892218798
JPN,2017,4.968025353349437,324392.326,12.689708944963316
JPN,2018,2.2058330991417296,340508.219,12.738194542312693
JPN,2019,-2.1210800107954952,348019.262,12.760013107799537
JPN,2020,-16.07873819057999,340637.495,12.738574126295664
JPN,2021,12.023065220712702,285867.284,12.563282940143159
JPN,2022,-0.0885059314796765,320237.294,12.676817543718188
KOR,2001,-13.708846872172153,84290.525,11.342024741468986
KOR,2002,3.2420765464719725,72735.266,11.194581635312307
KOR,2003,9.504093695372616,75093.399,11.226487937750653
KOR,2004,28.28436840093072,82230.346,11.31727968566617
KOR,2005,7.4708053982664335,105488.68,11.566358927563154
KOR,2006,7.880120597479046,113369.534,11.638407974568338
KOR,2007,8.84397209917418,122303.19,11.714258404736569
KOR,2008,-1.9669710670062512,133119.65,11.799003626844849
KOR,2009,-16.90847806217911,130501.225,11.779137892674008
KOR,2010,19.236938870565343,108435.454,11.593910380933785
KOR,2011,12.562847308169012,129295.116,11.769852791424736
KOR,2012,0.3922700355969644,145538.264,11.888194313837634
KOR,2013,2.7222330273089623,146109.167,11.892109340465838
KOR,2014,9.686696278593152,150086.599,11.918967733156133
KOR,2015,-4.815988129921833,164625.032,12.011425633426732
KOR,2016,-3.508353812916687,156696.71,11.962067432590837
KOR,2017,5.212333250231072,151199.235,11.92635368319096
KOR,2018,2.822655985004996,159080.243,11.977164026853776
KOR,2019,-4.180093417927456,163570.531,12.004999558563863
KOR,2020,-3.737939770615184,156733.13,11.962299829098866
KOR,2021,23.32397699439548,150874.54,11.924203909513661
KOR,2022,8.049867851458782,186064.483,12.133848575410443
