country,year,dva_value,fnl_value,exgr_value,dva_share,dva_ratio,dva_growth,dva_lag,dva_share_growth,dva_share_lag
CHN,2000,140440.664,102185.052,172212.299,0.8155089085710423,1.3743758137931954,,,,
CHN,2001,150627.498,114459.242,185693.056,0.8111638703388024,1.315992447337717,7.253478949658065,140440.664,-0.4345038232239862,0.8155089085710423
CHN,2002,180297.309,138025.993,223118.69,0.8080780189234708,1.306256199149388,19.697473166552903,150627.498,-0.3085851415331686,0.8111638703388024
CHN,2003,228295.885,177528.817,298514.92,0.7647721092131677,1.2859652244514197,26.621903713493577,180297.309,-4.330590971030301,0.8080780189234708
CHN,2004,297046.123,233664.307,401385.847,0.7400513127708761,1.2712515951355807,30.114532287780825,228295.885,-2.4720796442291637,0.7647721092131677
CHN,2005,381749.075,293455.271,503045.881,0.7588752625130828,1.3008765311971513,28.51508417095212,297046.123,1.8823949742206691,0.7400513127708761
CHN,2006,454669.618,341050.256,605570.592,0.7508119185549883,1.3331455115518225,19.10169474542931,381749.075,-0.8063343958094493,0.7588752625130828
CHN,2007,575484.465,412065.122,747936.921,0.7694291441457,1.3965862051290039,26.572007940939635,454669.618,1.8617225590711661,0.7508119185549883
CHN,2008,680415.126,468023.766,875354.206,0.7773026294226775,1.4538046471768273,18.23344805667344,575484.465,0.787348527697751,0.7694291441457
CHN,2009,564972.199,394452.524,693031.804,0.815218285422295,1.43229454655486,-16.96654330403584,680415.126,3.791565599961755,0.7773026294226775
CHN,2010,715967.293,492774.265,889202.002,0.8051795783068874,1.4529315831864718,26.72611046477349,564972.199,-1.0038707115407663,0.815218285422295
CHN,2011,859621.582,590985.899,1079883.402,0.7960318497422373,1.4545551483623471,20.064364727901072,715967.293,-0.9147728564650071,0.8051795783068874
CHN,2012,899326.819,621775.193,1109627.259,0.8104765016411696,1.446385814559186,4.618920444926666,859621.582,1.4444651898932293,0.7960318497422373
CHN,2013,963285.248,674341.283,1188856.152,0.8102622393630008,1.428483280327359,7.111811596046702,899326.819,-0.02142622781687864,0.8104765016411696
CHN,2014,1079112.988,737037.941,1313697.919,0.821431603409581,1.464121353828649,12.024241027305749,963285.248,1.11693640465802,0.8102622393630008
CHN,2015,1093987.383,731367.317,1304473.807,0.8386426596912113,1.4958111438277462,1.378390878935476,1079112.988,1.7211056281630333,0.821431603409581
CHN,2016,1010684.152,676028.018,1210134.735,0.8351831599974692,1.4950329351586134,-7.614642754979551,1093987.383,-0.3459499693742152,0.8386426596912113
CHN,2017,1094248.385,728099.639,1316505.373,0.8311765431738957,1.50288274624457,8.268085814409808,1010684.152,-0.40066168235735056,0.8351831599974692
CHN,2018,1199069.827,788628.617,1449159.619,0.8274242611227495,1.5204492978727402,9.579309728659101,1094248.385,-0.3752282051146194,0.8311765431738957
CHN,2019,1188327.497,764645.654,1426037.188,0.8333075090886058,1.5540891271448984,-0.8958886094963092,1199069.827,0.5883247965856375,0.8274242611227495
CHN,2020,1246516.329,782044.414,1481375.754,0.8414585736496399,1.5939201235698615,4.896699954086814,1188327.497,0.8151064561034094,0.8333075090886058
CHN,2021,1593281.384,995385.83,1920282.631,0.8297119175474124,1.600667134270939,27.818733451986756,1246516.329,-1.1746656102227582,0.8414585736496399
CHN,2022,1711083.698,1066750.132,2053823.193,0.8331212267111642,1.6040154546706915,7.393691734742558,1593281.384,0.3409309163751817,0.8297119175474124
IDN,2000,36410.315,18340.637,44411.303,0.8198434303987884,1.9852263037537903,,,,
IDN,2001,35182.81,17625.849,42709.652,0.8237671896741279,1.9960916492589946,-3.3713111243338756,36410.315,0.39237592753395,0.8198434303987884
IDN,2002,36167.605,17270.985,42942.679,0.8422298245528651,2.094125204787104,2.799080005263943,35182.81,1.8462634878737227,0.8237671896741279
IDN,2003,41805.483,19098.592,48283.495,0.8658338216817154,2.1889301054234784,15.588198333840463,36167.605,2.3603997128850307,0.8422298245528651
IDN,2004,45698.674,19772.313,54412.927,0.8398495820671437,2.3112457303300835,9.31263250803729,41805.483,-2.5984239614571747,0.8658338216817154
IDN,2005,52085.699,21715.359,62676.189,0.831028494728676,2.3985649511942215,13.97639021210988,45698.674,-0.8821087338467648,0.8398495820671437
IDN,2006,62164.103,23771.959,72628.248,0.8559218308556747,2.615018097582955,19.349656803108275,52085.699,2.4893336126998733,0.831028494728676
IDN,2007,67067.345,26711.593,78631.567,0.8529315586448888,2.510795406324138,7.887577819630076,62164.103,-0.29902722107859603,0.8559218308556747
IDN,2008,78940.754,29970.347,93311.239,0.845994060801186,2.6339619624691033,17.703711098150677,67067.345,-0.6937497843702789,0.8529315586448888
IDN,2009,65994.674,25080.442,75015.215,0.879750514612269,2.6313202135751834,-16.39974201411859,78940.754,3.3756453811083054,0.845994060801186
IDN,2010,86472.956,31464.384,98592.862,0.8770711616019424,2.748280595609309,31.030204043435393,65994.674,-0.2679353010326624,0.879750514612269
IDN,2011,106236.859,37871.634,121099.004,0.8772727726150414,2.805182871169488,22.85558851486469,86472.956,0.02016110130990123,0.8770711616019424
IDN,2012,96674.505,35532.489,110902.93,0.8717037953821419,2.7207355217924643,-9.000975828925807,106236.859,-0.5568977232899508,0.8772727726150414
IDN,2013,90267.945,36061.905,104146.075,0.8667436098768005,2.5031385613156045,-6.626938508761948,96674.505,-0.49601855053413857,0.8717037953821419
IDN,2014,87772.264,36687.491,101901.342,0.8613455159403101,2.3924302700340014,-2.7647477739744852,90267.945,-0.5398093936490489,0.8667436098768005
IDN,2015,70296.759,33614.599,81386.008,0.8637450186769206,2.0912568077935423,-19.910053818367945,87772.264,0.23995027366104926,0.8613455159403101
IDN,2016,68489.144,34636.198,77921.748,0.8789477361313813,1.9773863170547763,-2.571405888001188,70296.759,1.520271745446078,0.8637450186769206
IDN,2017,74226.402,38333.451,85553.844,0.8675986785584994,1.9363349780326327,8.376886707767884,68489.144,-1.134905757288196,0.8789477361313813
IDN,2018,76684.426,37207.022,89351.404,0.8582341470538057,2.0610202558001016,3.3115224957286804,74226.402,-0.936453150469363,0.8675986785584994
IDN,2019,70068.193,36026.038,80201.989,0.8736465750244673,1.944931968372431,-8.627870540492811,76684.426,1.5412427970661557,0.8582341470538057
IDN,2020,62956.043,31794.648,71414.124,0.8815629104405174,1.980083031584435,-10.15032598314617,70068.193,0.791633541605008,0.8736465750244673
