country,year,dva_growth,dva_lag,log_dva_lag
CHN,2001,7.253478949658065,140440.664,11.852540358268913
CHN,2002,19.697473166552903,150627.498,11.922565167321904
CHN,2003,26.621903713493577,180297.309,12.102362483955236
CHN,2004,30.114532287780825,228295.885,12.338397807826315
CHN,2005,28.51508417095212,297046.123,12.601642702023911
CHN,2006,19.10169474542931,381749.075,12.852518800026209
CHN,2007,26.572007940939635,454669.618,13.027326319898712
CHN,2008,18.23344805667344,575484.465,13.2629675128614
CHN,2009,-16.96654330403584,680415.126,13.430458370297302
CHN,2010,26.72611046477349,564972.199,13.244531803608222
CHN,2011,20.064364727901072,715967.293,13.481389764731814
CHN,2012,4.618920444926666,859621.582,13.664247550461841
CHN,2013,7.111811596046702,899326.819,13.70940178354178
CHN,2014,12.024241027305749,963285.248,13.778104854603747
CHN,2015,1.378390878935476,1079112.988,13.891649954235282
CHN,2016,-7.614642754979551,1093987.383,13.905339728990795
CHN,2017,8.268085814409808,1010684.152,13.82613803771819
CHN,2018,9.5793097286591,1094248.385,13.90557827915532
CHN,2019,-0.8958886094963092,1199069.827,13.997056670011984
CHN,2020,4.896699954086814,1188327.497,13.988057411789914
CHN,2021,27.81873345198676,1246516.329,14.03586328173961
CHN,2022,7.393691734742558,1593281.384,14.281306211083901
IDN,2001,-3.371311124333876,36410.315,10.502607392601432
IDN,2002,2.799080005263943,35182.81,10.468312890030655
IDN,2003,15.588198333840465,36167.605,10.495919107658445
IDN,2004,9.31263250803729,41805.483,10.640782782159324
IDN,2005,13.97639021210988,45698.674,10.729824561144056
IDN,2006,19.349656803108275,52085.699,10.860645698699045
IDN,2007,7.887577819630076,62164.103,11.037532989941665
IDN,2008,17.703711098150677,67067.345,11.113452542802577
IDN,2009,-16.39974201411859,78940.754,11.276452900729367
IDN,2010,31.030204043435397,65994.674,11.09732932078269
IDN,2011,22.85558851486469,86472.956,11.367586996636739
IDN,2012,-9.000975828925807,106236.859,11.573426399137661
IDN,2013,-6.626938508761948,96674.505,11.479104996214135
IDN,2014,-2.764747773974485,90267.945,11.410537692994854
IDN,2015,-19.910053818367945,87772.264,11.382500829944155
IDN,2016,-2.571405888001188,70296.759,11.1604809743178
IDN,2017,8.376886707767884,68489.144,11.134430529938932
IDN,2018,3.3115224957286804,74226.402,11.214875187968227
IDN,2019,-8.627870540492811,76684.426,11.247453915890276
IDN,2020,-10.15032598314617,70068.193,11.157224232534833
IDN,2021,22.994874376078567,62956.043,11.050192031687969
IDN,2022,28.095834594751203,77432.706,11.257164528464806
IND,2001,-3.4088992303000665,30116.672,10.312834184441346
IND,2002,9.417867464878428,29090.025,10.278150610890734
IND,2003,24.36755814580007,31829.685,10.368154623902948
IND,2004,32.63188150135241,39585.802,10.58622579759987
IND,2005,32.10941182202431,52503.394,10.868633094109196
IND,2006,21.920043309063296,69361.925,11.147093364817854
