region,year,border_delay_index,lpi_score,proxy_source
GUY,2022,0.8421052631578948,2.4,lpi
GUY,2023,0.8421052631578948,2.4,lpi
GUY,2024,0.8421052631578948,2.4,lpi
GUY,2025,0.8421052631578948,2.4,lpi
HND,2018,0.7247191011235954,2.6,lpi
HND,2019,0.6775568181818183,2.675,lpi
HND,2020,0.6335227272727273,2.75,lpi
HND,2021,0.605191256830601,2.825,lpi
HND,2022,0.5789473684210527,2.9,lpi
HND,2023,0.5789473684210527,2.9,lpi
HND,2024,0.5789473684210527,2.9,lpi
HND,2025,0.5789473684210527,2.9,lpi
HTI,2018,1.0,2.11,lpi
HTI,2019,1.0,2.1075,lpi
HTI,2020,1.0,2.105,lpi
HTI,2021,1.0,2.1025,lpi
HTI,2022,1.0,2.1,lpi
HTI,2023,1.0,2.1,lpi
HTI,2024,1.0,2.1,lpi
HTI,2025,1.0,2.1,lpi
JAM,2018,0.7696629213483146,2.52,lpi
JAM,2019,0.768465909090909,2.515,lpi
JAM,2020,0.7698863636363638,2.51,lpi
JAM,2021,0.7800546448087433,2.505,lpi
JAM,2022,0.7894736842105263,2.5,lpi
JAM,2023,0.7894736842105263,2.5,lpi
JAM,2024,0.7894736842105263,2.5,lpi
JAM,2025,0.7894736842105263,2.5,lpi
MEX,2018,0.0,3.05,bts
MEX,2019,0.0,3.0124999999999997,bts
MEX,2020,0.0,2.9749999999999996,bts
MEX,2021,1.0,2.9375,bts
MEX,2022,0.0,2.9,bts
MEX,2023,0.0,2.9,bts
MEX,2024,1.0,2.9,bts
MEX,2025,0.0,2.9,bts
NIC,2018,0.7808988764044944,2.5,lpi
NIC,2019,0.7769886363636364,2.5,lpi
NIC,2020,0.7755681818181819,2.5,lpi
NIC,2021,0.7827868852459017,2.5,lpi
NIC,2022,0.7894736842105263,2.5,lpi
NIC,2023,0.7894736842105263,2.5,lpi
NIC,2024,0.7894736842105263,2.5,lpi
NIC,2025,0.7894736842105263,2.5,lpi
PAN,2018,0.3426966292134833,3.28,lpi
PAN,2019,0.3593750000000001,3.235,lpi
PAN,2020,0.3835227272727274,3.19,lpi
PAN,2021,0.430327868852459,3.145,lpi
PAN,2022,0.4736842105263158,3.1,lpi
PAN,2023,0.4736842105263158,3.1,lpi
PAN,2024,0.4736842105263158,3.1,lpi
PAN,2025,0.4736842105263158,3.1,lpi
PER,2018,0.6741573033707865,2.69,lpi
PER,2019,0.625,2.7675,lpi
PER,2020,0.5795454545454548,2.8449999999999998,lpi
PER,2021,0.5519125683060111,2.9225,lpi
PER,2022,0.5263157894736843,3.0,lpi
PER,2023,0.5263157894736843,3.0,lpi
PER,2024,0.5263157894736843,3.0,lpi
PER,2025,0.5263157894736843,3.0,lpi
PRY,2018,0.6235955056179776,2.78,lpi
PRY,2019,0.6292613636363638,2.76,lpi
PRY,2020,0.6392045454545454,2.74,lpi
PRY,2021,0.6625683060109289,2.72,lpi
PRY,2022,0.6842105263157894,2.7,lpi
PRY,2023,0.6842105263157894,2.7,lpi
PRY,2024,0.6842105263157894,2.7,lpi
PRY,2025,0.6842105263157894,2.7,lpi
SLV,2018,0.7359550561797752,2.58,lpi
SLV,2019,0.7144886363636362,2.6100000000000003,lpi
SLV,2020,0.6960227272727273,2.64,lpi
SLV,2021,0.6898907103825137,2.67,lpi
SLV,2022,0.6842105263157894,2.7,lpi
SLV,2023,0.6842105263157894,2.7,lpi
SLV,2024,0.6842105263157894,2.7,lpi
SLV,2025,0.6842105263157894,2.7,lpi
TTO,2018,0.8258426966292135,2.42,lpi
TTO,2019,0.8110795454545454,2.44,lpi
TTO,2020,0.7982954545454546,2.46,lpi
TTO,2021,0.7937158469945356,2.48,lpi
TTO,2022,0.7894736842105263,2.5,lpi
TTO,2023,0.7894736842105263,2.5,lpi
TTO,2024,0.7894736842105263,2.5,lpi
TTO,2025,0.7894736842105263,2.5,lpi
URY,2018,0.6741573033707865,2.69,lpi
URY,2019,0.625,2.7675,lpi
URY,2020,0.5795454545454548,2.8449999999999998,lpi
URY,2021,0.5519125683060111,2.9225,lpi
URY,2022,0.5263157894736843,3.0,lpi
URY,2023,0.5263157894736843,3.0,lpi
URY,2024,0.5263157894736843,3.0,lpi
URY,2025,0.5263157894736843,3.0,lpi
USA,2018,0.4802345676256847,3.89,bts
USA,2019,0.4686876361743394,3.8675,bts
USA,2020,0.4502599450448534,3.8449999999999998,bts
USA,2021,0.5550964343563101,3.8225,bts
USA,2022,0.4307864062533819,3.8,bts
USA,2023,0.4289511954584107,3.8,bts
USA,2024,0.5784741471155642,3.8,bts
USA,2025,0.4097016320772973,3.8,bts
VEN,2018,0.9325842696629213,2.23,lpi
VEN,2019,0.9204545454545454,2.2475,lpi
VEN,2020,0.9090909090909093,2.2649999999999997,lpi
VEN,2021,0.9016393442622952,2.2824999999999998,lpi
VEN,2022,0.8947368421052633,2.3,lpi
VEN,2023,0.8947368421052633,2.3,lpi
VEN,2024,0.8947368421052633,2.3,lpi
VEN,2025,0.8947368421052633,2.3,lpi
